iter	Passed	Remaining
0	2	225
1	4	201
2	6	200
3	8	193
4	9	186
5	11	184
6	14	188
7	21	244
8	26	266
9	29	264
10	34	281
11	36	269
12	38	257
13	40	248
14	42	239
15	45	236
16	46	228
17	49	223
18	51	218
19	53	212
20	55	207
21	56	202
22	59	198
23	60	193
24	62	188
25	65	185
26	66	180
27	69	178
28	73	180
29	76	178
30	78	174
31	80	170
32	82	166
33	83	162
34	85	159
35	87	156
36	90	154
37	144	236
38	146	229
39	148	222
40	151	217
41	152	211
42	154	205
43	158	202
44	160	196
45	163	191
46	165	186
47	166	180
48	168	175
49	172	172
50	184	177
51	189	174
52	190	169
53	192	164
54	194	159
55	196	154
56	198	149
57	200	145
58	204	141
59	205	137
60	208	133
61	209	128
62	211	124
63	213	119
64	214	115
65	216	111
66	219	107
67	221	104
68	223	100
69	229	98
70	231	94
71	233	90
72	235	87
73	237	83
74	244	81
75	247	78
76	251	75
77	275	77
78	277	73
79	279	69
80	280	65
81	285	62
82	287	58
83	295	56
84	302	53
85	306	49
86	310	46
87	315	43
88	318	39
89	320	35
90	323	31
91	325	28
92	327	24
93	330	21
94	332	17
95	334	13
96	336	10
97	337	6
98	339	3
99	340	0
