flight_prices,company_names,dep_city,arrival_city,transfer_stops,duration_of_flight,additional_info,booking_dates,travel_dates,Dep_Time,Arrival_Time
24,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,12/10/2022,13:00,14:25
23,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,13/10/2022,13:00,14:25
26,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,14/10/2022,07:05,08:30
23,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,15/10/2022,21:55,23:20
52,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,16/10/2022,17:35,19:10
52,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,17/10/2022,12:10,13:45
52,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,18/10/2022,06:05,07:40
91,LOT,Warsaw,London,non-stop,2h 50m ,Economy,11/10/2022,19/10/2022,15:30,17:20
91,LOT,Warsaw,London,non-stop,2h 50m ,Economy,11/10/2022,12/10/2022,07:35,09:25
164,British Airways,Warsaw,London,non-stop,2h 40m ,Basic Economy,11/10/2022,13/10/2022,18:10,19:50
100,"LOT, Ryanair ",Warsaw,London,1 stop,4h 45m ,Economy,11/10/2022,14/10/2022,16:35,20:20
96,"Ryanair, Wizz Air ",Warsaw,London,1 stop,5h 30m ,Standard,11/10/2022,15/10/2022,06:20,10:50
128,LOT,Warsaw,London,1 stop,5h 00m ,Economy,11/10/2022,16/10/2022,14:10,18:10
150,"LOT, Ryanair ",Warsaw,London,1 stop,4h 10m ,Economy,11/10/2022,17/10/2022,19:55,23:05
128,LOT,Warsaw,London,1 stop,7h 15m ,Economy,11/10/2022,18/10/2022,11:55,18:10
49,"LOT, Ryanair ",Warsaw,London,1 stop,10h 35m ,Economy,11/10/2022,19/10/2022,13:30,23:05
22,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,12/10/2022,21:50,23:15
34,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,13/10/2022,15:35,17:00
21,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,14/10/2022,21:50,23:15
34,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,15/10/2022,11:40,13:05
60,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,16/10/2022,06:05,07:40
66,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,17/10/2022,17:35,19:10
66,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,18/10/2022,12:10,13:45
89,British Airways,Warsaw,London,non-stop,2h 45m ,Basic Economy,11/10/2022,19/10/2022,11:50,13:35
90,LOT,Warsaw,London,non-stop,2h 50m ,Economy,11/10/2022,12/10/2022,15:30,17:20
90,LOT,Warsaw,London,non-stop,2h 50m ,Economy,11/10/2022,13/10/2022,07:35,09:25
80,British Airways,Warsaw,London,non-stop,2h 45m ,Basic Economy,11/10/2022,14/10/2022,08:30,10:15
50,"LOT, Ryanair ",Warsaw,London,1 stop,5h 15m ,Economy,11/10/2022,15/10/2022,13:35,17:50
54,Ryanair,Warsaw,London,1 stop,5h 55m ,Standard,11/10/2022,16/10/2022,11:45,16:40
54,Ryanair,Warsaw,London,1 stop,6h 45m ,Standard,11/10/2022,17/10/2022,07:05,12:50
119,LOT,Warsaw,London,1 stop,5h 00m ,Economy,11/10/2022,18/10/2022,14:10,18:10
116,"LOT, Wizz Air ",Warsaw,London,1 stop,5h 00m ,Economy,11/10/2022,19/10/2022,13:35,17:35
35,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,12/10/2022,19:30,20:55
35,Ryanair,Warsaw,London,non-stop,2h 25m ,Standard,11/10/2022,13/10/2022,19:30,20:55
56,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,14/10/2022,06:05,07:40
60,Wizz Air,Warsaw,London,non-stop,2h 35m ,Economy,11/10/2022,15/10/2022,12:10,13:45
